Island start	Island end	Length	Method	Gene name	Gene ID	Locus	Gene start	Gene end	Strand	Product	External Annotations
525965	576669	50704	Predicted by at least one method	WP_029938007.1		BS76_RS0102620	525965	527821	1	excinuclease ABC subunit C	
525965	576669	50704	Predicted by at least one method	WP_081836800.1		BS76_RS0102625	528032	528598	1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	
525965	576669	50704	Predicted by at least one method	WP_029938009.1		BS76_RS0102640	529085	529366	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938010.1		BS76_RS0102645	529404	530441	-1	integrase	
525965	576669	50704	Predicted by at least one method	WP_029938011.1		BS76_RS0102650	530419	530847	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938012.1		BS76_RS0102655	530929	531120	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938013.1		BS76_RS0102660	531199	531474	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938014.1		BS76_RS0102665	531557	532018	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938015.1		BS76_RS0102670	532284	532580	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938016.1		BS76_RS0102675	532580	532921	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938017.1		BS76_RS13325	532911	533312	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938018.1		BS76_RS0102685	533487	533837	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938019.1		BS76_RS0102690	533877	534065	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938020.1		BS76_RS0102695	534191	534403	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_051673353.1		BS76_RS13330	534446	534826	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938022.1		BS76_RS0102705	536016	536762	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938023.1		BS76_RS0102710	536772	538511	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_051673354.1		BS76_RS0102720	538654	539139	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938025.1		BS76_RS0102725	539136	540158	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938026.1		BS76_RS0102730	540169	541476	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938027.1		BS76_RS0102735	541485	543080	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938028.1		BS76_RS0102740	543082	543393	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938029.1		BS76_RS0102745	543527	543889	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_051673355.1		BS76_RS13335	543864	545459	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938031.1		BS76_RS0102755	545480	547516	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938032.1		BS76_RS0102760	547519	547764	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_051673356.1		BS76_RS13340	547786	548793	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938034.1		BS76_RS0102770	548823	549719	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938035.1		BS76_RS0102775	549833	550141	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938036.1		BS76_RS0102780	550151	550765	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_051673357.1		BS76_RS13345	550774	552387	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938038.1		BS76_RS0102790	552404	552595	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938039.1		BS76_RS0102795	552605	552838	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938040.1		BS76_RS0102800	552838	553056	1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938041.1		BS76_RS0102805	553108	553818	-1	thymidylate synthase (FAD)	
525965	576669	50704	Predicted by at least one method	WP_029938042.1		BS76_RS0102815	554213	554530	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938043.1		BS76_RS0102820	554930	555232	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_038151574.1		BS76_RS13010	555243	555428	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_051673572.1		BS76_RS0102830	555608	557269	-1	ribonucleoside-diphosphate reductase, alpha chain	
525965	576669	50704	Predicted by at least one method	WP_029938045.1		BS76_RS0102835	557308	557520	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938046.1		BS76_RS0102840	557517	558761	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938047.1		BS76_RS0102845	558758	558940	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938048.1		BS76_RS0102850	558937	559260	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938049.1		BS76_RS0102855	559239	560096	-1	hypothetical protein	
525965	576669	50704	Predicted by at least one method	WP_029938050.1		BS76_RS0102860	560093	560482	-1	hypothetical protein	
